player_id,age,obp,slg,walk_pct,strikeout_pct,exit_velocity,defensive_runs,projected_salary_m,future_war,high_value
P0001,21,0.309,0.507,0.103,0.273,90.9,7.8,3.43,6.29,0
P0002,27,0.336,0.403,0.09,0.273,92.9,-18.0,2.31,1.26,1
P0003,26,0.34,0.413,0.067,0.156,97.6,4.4,3.62,4.1,1
P0004,27,0.34,0.65,0.103,0.192,80.5,13.7,6.23,5.95,1
P0005,22,0.357,0.541,0.075,0.219,88.6,-13.6,3.54,4.42,1
P0006,20,0.345,0.466,0.04,0.285,88.2,5.0,5.23,3.7,1
P0007,30,0.32,0.41,0.06,0.26,90.0,-6.1,3.58,3.17,1
P0008,27,0.354,0.373,0.103,0.176,89.3,-1.8,4.37,4.09,1
P0009,23,0.3,0.425,0.056,0.207,89.8,-7.4,3.26,3.57,0
P0010,23,0.391,0.369,0.064,0.253,91.6,9.8,3.34,4.98,1
P0011,28,0.299,0.444,0.13,0.148,88.3,-3.1,3.37,2.71,0
P0012,24,0.326,0.378,0.075,0.282,88.5,-1.5,1.45,3.62,0
P0013,30,0.291,0.421,0.066,0.194,87.0,20.1,4.13,3.72,1
P0014,30,0.375,0.369,0.111,0.233,89.2,5.9,4.12,5.26,1
P0015,22,0.344,0.411,0.106,0.278,90.6,3.1,3.13,5.42,0
P0016,20,0.298,0.41,0.081,0.182,86.8,-6.5,2.48,1.49,0
P0017,20,0.297,0.335,0.073,0.228,88.8,6.7,2.68,3.11,0
P0018,22,0.359,0.411,0.074,0.22,88.1,21.4,3.16,4.83,1
P0019,26,0.276,0.362,0.064,0.259,85.8,-2.8,1.71,1.98,0
P0020,21,0.334,0.39,0.118,0.171,90.7,10.6,2.29,5.87,1
P0021,29,0.291,0.4,0.106,0.228,91.4,2.3,0.7,4.69,1
P0022,29,0.338,0.323,0.1,0.235,88.9,9.2,3.02,4.51,0
P0023,27,0.365,0.445,0.163,0.203,92.7,12.8,2.91,3.99,1
P0024,27,0.326,0.437,0.095,0.247,89.8,5.2,1.81,3.78,1
P0025,29,0.344,0.36,0.072,0.288,86.9,6.7,2.5,3.7,0
P0026,22,0.338,0.343,0.116,0.247,81.1,7.6,3.52,6.42,1
P0027,25,0.296,0.465,0.042,0.255,87.8,0.2,2.16,3.57,1
P0028,21,0.31,0.518,0.091,0.149,87.7,15.3,4.23,5.22,1
P0029,27,0.299,0.346,0.101,0.188,90.0,5.9,2.27,2.9,0
P0030,27,0.284,0.428,0.116,0.159,89.8,-7.4,3.02,4.23,0
P0031,29,0.24,0.52,0.095,0.272,84.3,2.5,2.31,1.44,0
P0032,22,0.375,0.488,0.112,0.237,90.2,4.6,4.57,5.51,1
P0033,26,0.308,0.592,0.059,0.222,85.8,-1.9,3.86,4.33,1
P0034,23,0.341,0.386,0.098,0.248,80.5,5.4,2.76,2.28,0
P0035,23,0.341,0.377,0.107,0.163,91.8,7.9,3.01,6.75,1
P0036,27,0.301,0.336,0.052,0.238,89.4,4.0,2.34,3.32,0
P0037,25,0.341,0.425,0.091,0.196,87.8,14.1,3.22,5.79,1
P0038,20,0.346,0.51,0.075,0.174,87.9,4.3,2.87,4.86,1
P0039,22,0.312,0.345,0.09,0.251,92.1,0.7,1.99,4.0,1
P0040,23,0.303,0.427,0.083,0.244,84.9,3.0,0.73,2.07,0
P0041,22,0.34,0.392,0.056,0.137,85.9,6.0,4.88,3.85,0
P0042,25,0.33,0.36,0.082,0.209,85.7,3.7,2.8,3.58,0
P0043,21,0.307,0.375,0.098,0.292,92.3,13.0,2.09,4.78,1
P0044,26,0.356,0.38,0.071,0.277,90.5,-1.8,3.49,3.75,1
P0045,22,0.279,0.297,0.079,0.23,88.7,6.7,2.67,3.81,0
P0046,24,0.361,0.383,0.081,0.23,91.1,9.3,4.04,5.48,1
P0047,23,0.329,0.391,0.113,0.273,87.0,-3.8,3.8,2.16,1
P0048,30,0.285,0.373,0.11,0.147,85.9,0.0,1.85,3.34,0
P0049,26,0.34,0.388,0.061,0.248,91.9,3.0,3.36,4.2,0
P0050,28,0.298,0.484,0.089,0.207,85.8,-1.8,3.43,3.03,0
P0051,24,0.326,0.352,0.094,0.221,86.5,-2.6,0.7,4.69,0
P0052,20,0.32,0.429,0.084,0.163,84.3,3.8,1.71,1.31,1
P0053,28,0.301,0.488,0.091,0.298,92.4,-1.7,3.11,3.63,1
P0054,23,0.374,0.334,0.066,0.263,87.2,6.4,3.8,4.18,0
P0055,24,0.322,0.544,0.083,0.153,91.3,-3.2,4.76,4.94,0
P0056,20,0.318,0.292,0.111,0.198,90.0,-3.4,2.32,5.19,1
P0057,23,0.356,0.393,0.08,0.211,87.1,3.1,3.58,5.88,1
P0058,29,0.342,0.459,0.095,0.187,91.8,5.8,5.68,3.59,1
P0059,22,0.324,0.408,0.108,0.197,88.8,4.0,2.84,5.76,1
P0060,21,0.333,0.401,0.105,0.235,91.2,6.6,2.56,5.74,0
P0061,27,0.282,0.519,0.133,0.201,90.2,2.1,3.41,5.2,0
P0062,24,0.372,0.501,0.08,0.201,88.1,9.5,4.49,5.29,1
P0063,27,0.27,0.355,0.093,0.176,87.0,3.1,1.79,3.13,1
P0064,28,0.378,0.379,0.062,0.252,85.7,10.5,6.4,3.82,1
P0065,29,0.346,0.555,0.074,0.218,91.3,-2.0,5.96,5.02,1
P0066,24,0.311,0.463,0.121,0.237,88.9,2.1,2.2,3.06,0
P0067,25,0.3,0.447,0.07,0.201,86.1,4.7,2.63,4.57,1
P0068,20,0.262,0.504,0.153,0.145,92.7,1.0,2.19,6.1,1
P0069,21,0.27,0.394,0.096,0.17,88.5,-8.4,2.51,5.29,0
P0070,22,0.374,0.391,0.101,0.262,87.5,-1.5,3.04,4.86,1
P0071,29,0.351,0.415,0.069,0.224,90.2,0.7,4.12,5.58,1
P0072,23,0.352,0.483,0.076,0.265,93.6,8.2,4.39,5.32,1
P0073,29,0.345,0.467,0.067,0.166,86.8,7.1,4.9,3.84,1
P0074,26,0.271,0.369,0.068,0.198,83.4,12.8,1.46,2.44,0
P0075,25,0.349,0.511,0.101,0.192,90.7,5.7,4.27,3.72,1
P0076,28,0.294,0.406,0.071,0.175,89.1,-0.4,2.47,3.86,1
P0077,29,0.26,0.625,0.16,0.179,87.9,-7.5,4.41,4.61,0
P0078,26,0.302,0.391,0.101,0.206,90.7,-0.8,1.83,4.44,1
P0079,24,0.306,0.482,0.085,0.203,84.4,7.4,3.24,4.19,1
P0080,20,0.368,0.281,0.114,0.199,88.1,4.4,1.58,3.29,1
P0081,20,0.284,0.39,0.071,0.204,89.7,4.2,3.17,4.27,1
P0082,29,0.286,0.314,0.117,0.157,86.6,-5.1,1.63,2.23,0
P0083,28,0.317,0.345,0.122,0.286,91.7,10.2,1.88,2.57,1
P0084,24,0.359,0.471,0.083,0.217,89.0,7.3,3.08,4.92,1
P0085,30,0.246,0.307,0.088,0.2,84.8,4.9,0.7,1.29,0
P0086,28,0.324,0.49,0.03,0.189,87.8,3.1,3.34,4.76,1
P0087,23,0.359,0.472,0.122,0.27,87.7,-8.0,3.72,5.49,1
P0088,22,0.386,0.365,0.099,0.221,89.0,-7.9,2.91,5.71,1
P0089,30,0.34,0.458,0.111,0.173,90.2,7.3,3.57,5.04,1
P0090,20,0.353,0.377,0.069,0.112,90.1,0.2,3.46,7.28,1
P0091,23,0.315,0.466,0.11,0.31,94.7,5.2,2.74,4.96,1
P0092,23,0.316,0.437,0.121,0.272,95.1,5.7,4.06,5.53,1
P0093,29,0.325,0.475,0.098,0.213,92.1,-5.3,3.28,4.67,1
P0094,28,0.292,0.28,0.095,0.201,87.8,13.5,2.15,3.62,1
P0095,21,0.329,0.28,0.124,0.217,85.0,9.2,3.71,4.6,1
P0096,30,0.333,0.461,0.081,0.219,93.2,1.1,2.74,5.28,1
P0097,24,0.359,0.408,0.098,0.159,89.2,-3.7,3.36,6.44,1
P0098,26,0.388,0.343,0.072,0.207,91.0,2.1,4.39,4.94,1
P0099,27,0.337,0.53,0.081,0.131,87.7,-1.1,4.0,3.88,0
P0100,28,0.34,0.283,0.097,0.207,92.3,2.7,1.42,3.28,1
P0101,28,0.338,0.565,0.108,0.225,87.3,0.4,4.89,5.45,1
P0102,28,0.262,0.493,0.079,0.273,88.0,-0.5,2.4,4.16,1
P0103,22,0.342,0.389,0.089,0.149,88.2,4.6,2.48,6.14,1
P0104,20,0.326,0.536,0.065,0.28,88.4,-3.3,5.59,4.03,1
P0105,22,0.294,0.451,0.075,0.203,89.8,10.1,2.71,3.7,1
P0106,22,0.339,0.388,0.083,0.208,89.6,10.2,3.36,6.01,1
P0107,23,0.282,0.435,0.09,0.216,87.8,-5.9,2.36,4.72,0
P0108,21,0.354,0.288,0.09,0.186,88.2,6.6,2.4,4.59,1
P0109,23,0.304,0.451,0.08,0.216,87.8,-1.1,2.66,4.8,0
P0110,27,0.287,0.372,0.113,0.232,91.5,7.8,2.24,2.72,1
P0111,25,0.312,0.453,0.079,0.203,92.2,-5.6,4.64,3.33,0
P0112,21,0.321,0.393,0.075,0.145,89.0,7.1,1.85,5.2,1
P0113,24,0.282,0.389,0.109,0.181,88.1,0.3,2.12,3.72,0
P0114,23,0.254,0.439,0.074,0.267,85.5,4.7,1.79,2.25,1
P0115,28,0.37,0.496,0.067,0.154,83.9,9.0,3.74,5.68,1
P0116,22,0.28,0.419,0.053,0.236,89.6,2.7,2.43,4.16,1
P0117,20,0.302,0.463,0.068,0.292,88.5,8.9,4.2,3.97,0
P0118,29,0.313,0.28,0.078,0.216,85.6,1.3,1.63,1.94,1
P0119,28,0.279,0.3,0.117,0.229,87.4,0.9,0.96,3.29,0
P0120,28,0.31,0.536,0.142,0.205,89.0,-5.5,3.78,5.21,1
P0121,25,0.339,0.359,0.157,0.25,89.4,5.1,2.62,3.53,0
P0122,26,0.402,0.302,0.099,0.235,94.3,8.2,2.64,4.92,1
P0123,29,0.376,0.365,0.057,0.204,88.9,-1.7,2.24,2.18,1
P0124,22,0.36,0.355,0.041,0.207,85.7,8.2,3.67,3.42,0
P0125,29,0.284,0.526,0.137,0.316,85.2,-0.5,3.26,1.34,1
P0126,26,0.359,0.518,0.045,0.293,89.8,13.4,3.96,5.27,0
P0127,30,0.308,0.403,0.06,0.204,88.1,6.1,2.67,2.88,0
P0128,25,0.392,0.381,0.063,0.179,82.4,-3.7,4.02,2.79,1
P0129,28,0.296,0.384,0.111,0.255,92.7,-1.1,2.42,4.75,0
