player_id,arrival_order,age,obp,slg,walk_pct,strikeout_pct,exit_velocity,defensive_runs,projected_salary_m
P3001,1,22,0.335,0.53,0.068,0.223,86.1,-3.9,4.91
P3002,2,24,0.383,0.455,0.05,0.23,91.5,9.5,4.34
P3003,3,25,0.375,0.498,0.058,0.155,90.6,9.4,5.18
P3004,4,27,0.365,0.368,0.114,0.243,89.2,3.4,3.93
P3005,5,27,0.26,0.445,0.052,0.141,87.8,1.4,2.11
P3006,6,27,0.363,0.459,0.107,0.105,86.4,6.3,4.88
P3007,7,25,0.333,0.546,0.095,0.289,91.4,6.0,3.07
P3008,8,22,0.358,0.355,0.105,0.18,88.2,3.6,2.83
P3009,9,20,0.275,0.28,0.077,0.176,85.0,-2.2,0.73
P3010,10,27,0.301,0.5,0.079,0.238,87.6,9.2,2.89
P3011,11,30,0.307,0.392,0.098,0.311,86.6,6.3,3.11
P3012,12,28,0.271,0.509,0.117,0.224,86.7,4.8,3.31
P3013,13,22,0.346,0.321,0.112,0.243,87.2,2.5,1.71
P3014,14,28,0.284,0.36,0.084,0.225,89.4,3.8,2.59
P3015,15,25,0.356,0.45,0.118,0.19,84.9,2.4,3.66
P3016,16,22,0.335,0.351,0.142,0.228,88.8,5.8,3.86
P3017,17,30,0.329,0.488,0.128,0.167,88.8,5.5,2.69
P3018,18,30,0.309,0.459,0.099,0.183,84.7,-7.2,2.53
P3019,19,22,0.33,0.382,0.105,0.22,88.7,2.2,2.71
P3020,20,22,0.306,0.407,0.081,0.294,93.3,6.8,1.61
P3021,21,29,0.337,0.417,0.086,0.202,90.7,7.6,5.15
P3022,22,28,0.364,0.394,0.056,0.259,92.9,-12.1,3.65
P3023,23,30,0.319,0.431,0.119,0.258,92.8,8.5,3.62
P3024,24,20,0.339,0.363,0.098,0.161,89.6,2.0,3.46
P3025,25,28,0.356,0.472,0.083,0.172,90.5,12.9,4.2
P3026,26,30,0.345,0.535,0.082,0.169,93.1,8.9,4.58
P3027,27,23,0.353,0.321,0.098,0.279,87.8,12.8,2.21
P3028,28,23,0.388,0.42,0.069,0.233,87.6,-4.6,5.34
P3029,29,20,0.255,0.412,0.081,0.178,90.1,7.7,2.38
P3030,30,26,0.367,0.571,0.091,0.259,90.0,6.4,5.47
P3031,31,29,0.329,0.51,0.137,0.181,83.0,10.2,3.91
P3032,32,26,0.347,0.392,0.066,0.265,89.4,5.0,2.0
P3033,33,20,0.301,0.532,0.082,0.226,94.9,8.5,2.48
P3034,34,27,0.288,0.42,0.118,0.232,86.0,-6.2,3.28
P3035,35,20,0.309,0.418,0.142,0.217,88.5,-1.2,4.18
P3036,36,24,0.286,0.435,0.124,0.202,84.5,6.2,2.31
P3037,37,25,0.337,0.465,0.11,0.256,91.9,7.7,3.4
P3038,38,26,0.251,0.374,0.09,0.216,88.4,5.0,1.8
P3039,39,30,0.329,0.29,0.087,0.146,85.0,-11.2,1.43
P3040,40,27,0.287,0.476,0.069,0.245,89.3,-9.2,2.23
P3041,41,24,0.347,0.372,0.116,0.124,86.4,-3.0,4.65
P3042,42,22,0.273,0.555,0.103,0.109,92.7,9.1,3.53
P3043,43,25,0.336,0.331,0.11,0.195,86.3,-4.9,3.42
P3044,44,25,0.352,0.475,0.088,0.164,89.0,10.8,4.27
P3045,45,24,0.292,0.439,0.091,0.2,89.4,13.1,2.24
P3046,46,21,0.265,0.433,0.077,0.206,85.6,4.2,3.51
P3047,47,26,0.299,0.43,0.081,0.22,82.1,6.5,2.51
P3048,48,22,0.334,0.41,0.109,0.18,86.1,-2.1,3.15
P3049,49,22,0.284,0.43,0.047,0.285,91.4,0.4,2.36
P3050,50,25,0.28,0.393,0.077,0.118,96.1,9.4,1.04
P3051,51,24,0.349,0.383,0.049,0.274,88.6,2.8,2.64
P3052,52,30,0.334,0.384,0.079,0.195,93.8,4.2,3.0
P3053,53,24,0.323,0.477,0.12,0.204,89.7,-15.4,3.3
P3054,54,27,0.296,0.44,0.105,0.262,93.3,4.5,3.02
P3055,55,24,0.34,0.407,0.103,0.214,92.8,3.3,2.6
P3056,56,30,0.295,0.374,0.087,0.186,87.1,-3.6,1.65
P3057,57,24,0.412,0.388,0.086,0.218,92.2,2.2,3.24
P3058,58,26,0.284,0.493,0.101,0.288,91.8,3.8,2.26
P3059,59,26,0.339,0.401,0.102,0.247,84.8,-8.7,2.63
P3060,60,23,0.302,0.478,0.109,0.182,92.6,-7.3,2.63
P3061,61,30,0.297,0.643,0.122,0.223,87.7,1.8,5.41
P3062,62,28,0.312,0.325,0.038,0.253,85.2,3.7,3.03
P3063,63,30,0.319,0.498,0.071,0.289,88.7,11.1,4.25
P3064,64,27,0.329,0.329,0.08,0.188,90.1,-9.3,2.55
P3065,65,21,0.289,0.518,0.089,0.237,84.2,19.5,3.27
P3066,66,28,0.289,0.39,0.067,0.206,89.6,-1.5,2.65
P3067,67,25,0.35,0.366,0.092,0.246,84.6,14.6,3.29
P3068,68,26,0.397,0.379,0.098,0.198,84.9,1.1,3.3
P3069,69,24,0.361,0.293,0.067,0.246,86.1,-9.8,3.54
P3070,70,29,0.33,0.367,0.076,0.275,87.6,0.4,2.2
P3071,71,28,0.312,0.28,0.084,0.319,92.6,5.6,2.48
P3072,72,27,0.286,0.402,0.098,0.292,84.9,-3.3,2.52
P3073,73,28,0.31,0.466,0.048,0.263,82.3,3.6,3.5
P3074,74,23,0.293,0.363,0.066,0.205,87.7,2.7,2.2
P3075,75,24,0.309,0.355,0.068,0.185,84.8,0.7,1.43
P3076,76,25,0.343,0.474,0.047,0.214,85.9,8.4,3.54
P3077,77,28,0.319,0.423,0.077,0.221,89.3,5.2,2.21
P3078,78,30,0.327,0.449,0.084,0.203,88.1,-1.4,3.71
P3079,79,25,0.295,0.413,0.065,0.175,89.0,0.4,3.26
P3080,80,27,0.338,0.503,0.059,0.174,89.8,5.3,2.22
P3081,81,25,0.33,0.426,0.079,0.256,88.2,2.7,2.58
P3082,82,20,0.295,0.458,0.078,0.275,85.7,6.4,2.27
P3083,83,23,0.299,0.456,0.067,0.167,89.2,11.9,2.97
P3084,84,21,0.308,0.46,0.097,0.192,93.1,-8.8,3.76
P3085,85,28,0.304,0.445,0.106,0.167,87.6,0.8,3.51
P3086,86,20,0.303,0.433,0.107,0.279,88.8,6.8,2.5
P3087,87,30,0.29,0.456,0.077,0.214,86.4,7.5,4.21
P3088,88,24,0.358,0.402,0.124,0.264,90.3,-3.0,3.4
P3089,89,20,0.338,0.468,0.093,0.266,90.2,-9.3,4.09
P3090,90,22,0.309,0.428,0.099,0.182,86.8,-3.0,3.84
P3091,91,30,0.318,0.589,0.097,0.284,84.5,5.9,4.8
P3092,92,29,0.363,0.381,0.079,0.26,86.5,11.8,4.16
P3093,93,28,0.337,0.461,0.096,0.235,90.2,-10.7,3.2
P3094,94,27,0.285,0.403,0.06,0.186,92.9,6.1,1.8
P3095,95,20,0.322,0.451,0.077,0.293,87.3,8.5,3.56
P3096,96,21,0.353,0.514,0.092,0.254,89.7,6.9,3.41
P3097,97,26,0.325,0.445,0.128,0.305,94.4,6.4,3.91
P3098,98,25,0.334,0.321,0.088,0.158,89.4,6.4,2.78
P3099,99,23,0.366,0.471,0.112,0.199,91.6,-3.6,4.27
P3100,100,27,0.295,0.327,0.068,0.256,90.4,-1.8,0.7
